pr,merge_sha,merged_at,title,owning_milestone,dispatch_mode,dispatch_run_id,conclusion,notes
306,e16e6fe7606863b1fe3aa90ad8631cd971865d7a,2026-04-29T18:09:28Z,"[trajectory-2] docs(m06): open performance hardening audit",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/306"
307,dc5688f413d7af1a9bd8d3572eca9bf1b9264490,2026-04-29T18:23:04Z,"[trajectory-2] docs(m02): open mutation verdict audit baseline",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/307"
308,167dd352b558b17b477d698e4aaaf2507b6770ce,2026-04-29T18:44:14Z,"chore(M01.P0.T1): pin workspace diagnostics and lsp deps",M01,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/308"
309,b8f7db20b1d7d4b61c2118f16dfe8f44db6adf65,2026-04-29T19:00:23Z,"docs(m06): document bench reference runner contract",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/309"
310,0610f1e34c84e8cd5abdf6222022b14891bbbaf1,2026-04-29T19:43:11Z,"docs(m01): add error taxonomy audit baseline",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/310"
311,b024cf97905ca834ac0ce8c56c4e525f7dadbfe6,2026-04-29T20:31:56Z,"chore(m06): pin dhat workspace dev dependency",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/311"
312,ada4991459a8da51cf1f5c7d09e83cb2fdc81230,2026-04-29T21:00:08Z,"feat(chio-errors): seed error urn registry",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/312"
313,9c05d3121c0c1365fbb9cb74328a6b37e66e18a6,2026-04-29T21:02:56Z,"feat(core-types): add canonical bytes newtype",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/313"
314,e5ff9b969be9c1a8842026ab34664d4e59bb9892,2026-04-29T21:04:58Z,"ci(mutants): pin cargo-mutants major line",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/314"
315,e32688b24446ee8164f6ce3515063b7e943831b9,2026-04-29T21:11:50Z,"test(core-types): cover canonical bytes vectors",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/315"
316,acb53d9795b1a60d5f583deff95b9056aa4b3ca7,2026-04-29T21:16:23Z,"feat(chio-errors): scaffold typed error crate",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/316"
317,b9ab2ba79d3389d6d6bead5cbfcd58fa27486a37,2026-04-29T21:35:51Z,"feat(core-types): share canonical signing bytes",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/317"
318,114ce725293f486db871fb88b7e8089a91a48bbb,2026-04-29T21:55:26Z,"feat(chio-errors): generate registry codes",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/318"
319,9e1ecf4b217b2d79e761c8287d643aa3d6333c84,2026-04-29T21:51:58Z,"test(policy): record mutation baseline",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/319"
320,ecfbbe6e5c3eaa9f5cd318893a4eb564c3eea0ca,2026-04-29T21:52:41Z,"fix(kernel): use shared canonical receipt signing",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/320"
321,c11d129ae279c9438089f68e8e1834504a7e7537,2026-04-29T22:11:19Z,"test: add chio-credentials mutation baseline",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/321"
322,63a31b5201989a280a89fa7fa845f91b139677ab,2026-04-29T22:25:44Z,"feat(store-sqlite): accept shared canonical receipt bytes",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/322"
323,6ba6c7bf3d86152fa265459c6cf5bcdaeee98476,2026-04-29T22:23:24Z,"feat(xtask): wire error registry codegen",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/323"
324,42313d7dc5b6a9f7b08e1fe3f753af0cd7bc5912,2026-04-29T22:41:26Z,"test(mutants): baseline chio-attest-verify",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/324"
325,9378f1d5f976406255dd175131125198bfd8a574,2026-04-29T22:43:52Z,"test: add jsonrpc error bridge property coverage",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/325"
326,db4bb9a2c5afc0772805945d8bdf307c1419a747,2026-04-29T22:45:49Z,"feat: add canonical otel receipt sink",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/326"
327,705f7a1e212eb0b36ace2082c68f30768520312a,2026-04-29T22:56:16Z,"docs: audit otel exporter channel bounds",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/327"
328,4a93b03189664def077f2a20a950bbef78fe2be7,2026-04-30T00:50:27Z,"feat: add bounded otel exporter queue",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/328"
329,83b7a8152398a31c11cb4b5c81ef2cde8c41866e,2026-04-30T01:16:11Z,"test(mutants): baseline chio-kernel-core",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/329"
330,24ea82f3967a4e6cad299aa8b311ccd20f50f93e,2026-04-30T01:43:46Z,"fix: migrate passport CLI errors to registry diagnostics",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/330"
331,dce8ce5613628f53c77f42310bf7ef49f190067b,2026-04-30T02:27:17Z,"feat(metrics): expose runtime drop counters",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/331"
332,6b8308868d693e6cb8b93a36eb145e3c387dc74a,2026-04-30T03:48:21Z,"test(mutants): baseline guards and anchor",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/332"
333,582b24026b3204db01dd72408503094351e4c9cd,2026-04-30T04:10:13Z,"feat(grafana): add perf saturation alerts",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/333"
334,247515524d047859830a1182578277c569b7b9cf,2026-04-30T04:47:38Z,"feat(conformance): scaffold verdict matrix",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/334"
335,d5b451d7d6e0e980300f125cb97b8622edb9436c,2026-04-30T04:40:45Z,"test(mutants): aggregate baseline bookkeeping",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/335"
336,5e578282c4f19a3caaa9cf6110670d89b095e6b3,2026-04-30T05:26:46Z,"feat(sqlite): add receipt group commit actor",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/336"
337,245654a9536a10ad9910891fc0428e6dfbfddf65,2026-04-30T06:04:03Z,"refactor(cli): migrate guard policy diagnostics",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/337"
338,910f591c46f60035ad7b02571b3ede9da922ffe2,2026-04-30T06:01:50Z,"test(otel): cover loom ring shutdown",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/338"
339,866eb0b813b8f92b45f510308cd83b9b67186cdf,2026-04-30T06:09:06Z,"test(policy): harden mutation survivor cases",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/339"
340,6d96086c9d69f4901bb6587ad8d291b126c34dd3,2026-04-30T06:22:34Z,"feat(metrics): count signing queue blocks",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/340"
